Khởi tố giám đốc Công ty X vì nghi vấn tham nhũng ngân sách,Bắt tạm giam giám đốc Công ty X liên quan vụ tham nhũng ngân sách
Tòa xử vụ lừa đảo chiếm đoạt tài sản tại Công ty Y,Phán quyết vụ lừa đảo chiếm đoạt tài sản liên quan Công ty Y
Công an điều tra đường dây rửa tiền xuyên quốc gia,Phá án: đường dây rửa tiền xuyên quốc gia bị triệt phá
Khởi tố nhóm người tổ chức đánh bạc trực tuyến,Bắt giữ chủ trang web đánh bạc trực tuyến cùng 6 người
Xét xử vụ án cố ý gây thương tích tại quán bar,Bản án cho bị cáo trong vụ cố ý gây thương tích ở quán bar
Vi phạm môi trường: phạt hành chính Công ty Z sau lập biên bản,Công ty Z bị xử phạt vì xả thải trái phép — chi tiết vụ việc
"Khởi tố, khám xét trụ sở liên quan vụ buôn lậu thuốc lá",Bắt giữ nhiều nghi can trong đường dây buôn lậu thuốc lá
Tranh chấp đất đai: tòa án yêu cầu tham vấn chuyên môn,Vụ tranh chấp đất đai giữa hai hộ được hoãn xét xử
Giao thông: tài xế bị kết án vì vi phạm gây tai nạn làm chết người,Phán quyết sơ thẩm vụ tai nạn giao thông khiến 2 người tử vong
Khởi tố vụ án tham ô tại cơ quan hành chính huyện A,Công bố điều tra tham ô tại UBND huyện A: ai chịu trách nhiệm?
Bắt giữ nhóm tội phạm ma túy hoạt động ở khu công nghiệp,"Phá chuyên án ma túy tại khu công nghiệp, thu lượng lớn heroin"
Tuyển dụng giả: lừa đảo hàng trăm ứng viên qua mạng,Nạn nhân của tuyển dụng giả tố cáo trang web tuyển dụng X
Xâm phạm bí mật nhà nước: khởi tố 2 cán bộ,Điều tra xâm phạm bí mật nhà nước liên quan 2 cán bộ địa phương
Phạt nặng doanh nghiệp vi phạm lao động: tuyển dụng trái phép,Thanh tra phát hiện doanh nghiệp tuyển dụng lao động trái phép
Bảo hiểm xã hội: khởi tố hành vi trục lợi quỹ BHXH,Phá vụ trục lợi quỹ bảo hiểm xã hội: hàng chục sổ BH giả
Tội phạm mạng: nhóm hacker bị truy tố về chiếm đoạt dữ liệu,"Điều tra nhóm tấn công mạng, chiếm đoạt dữ liệu khách hàng"
Mua bán trẻ em: triệt phá đường dây buôn người,Bắt nhiều đối tượng trong vụ mua bán trẻ em xuyên tỉnh
Trộm cắp tài sản: án phạt dành cho nhóm thanh thiếu niên,Tòa tuyên phạt nhóm thanh thiếu niên trong vụ trộm tài sản
Nhà báo tố cáo: kiện dân sự vì xâm phạm danh dự,Vụ kiện dân sự liên quan xâm phạm danh dự nhà báo
Phạt CEO vì vi phạm thuế lớn tại Công ty A,Cơ quan thuế xử lý hành chính Công ty A và lãnh đạo
Lừa đảo tiền ảo: người sáng lập sàn bị khởi tố,Điều tra lừa đảo tiền ảo: hàng nghìn nhà đầu tư bị ảnh hưởng
Bảo vệ dân sự: xử lý vi phạm xây dựng trái phép,"Lập biên bản công trình xây dựng trái phép, đình chỉ thi công"
Khởi tố vụ án liên quan giả mạo hồ sơ đất đai,Phát hiện sổ đỏ giả: điều tra hành vi gian lận đất đai
Vi phạm an toàn thực phẩm: doanh nghiệp bị phạt hành chính,Cơ quan chức năng xử phạt doanh nghiệp do vi phạm VSATTP
Lực lượng chức năng thu giữ hàng hóa nhập lậu tại cửa khẩu,Phá chuyên án buôn lậu qua cửa khẩu: hàng hóa trị giá lớn bị tịch thu
Tòa án nhân dân xử vụ tranh chấp thừa kế gia đình,Vụ tranh chấp thừa kế: phán quyết chia tài sản của tòa
Khởi tố cựu cán bộ liên quan sai phạm ngân sách,Điều tra sai phạm ngân sách: cựu cán bộ bị truy cứu trách nhiệm
Xử lý hành chính: phạt lái xe sử dụng rượu bia vượt mức,Tăng cường xử lý vi phạm nồng độ cồn: chiến dịch của CSGT
"Phá đường dây cá độ bóng đá trực tuyến, bắt nhiều đối tượng",Bắt giữ đường dây cá độ bóng đá qua mạng với giao dịch lớn
Tội buôn bán ma túy: bản án nặng cho các bị cáo chính,Toà tuyên mức án cao trong vụ buôn bán ma túy xuyên tỉnh
"Khởi tố vụ án môi giới hôn nhân trái phép, đưa người ra nước ngoài",Bắt đường dây môi giới hôn nhân trái phép đưa người ra nước ngoài
Phạt chủ đầu tư vì vi phạm an toàn lao động tại công trình,Tai nạn lao động: điều tra trách nhiệm chủ đầu tư công trình
Hình sự hoá vi phạm hành chính: trường hợp xử lý ô nhiễm,Chuyển hồ sơ hành chính sang hình sự vì hành vi gây ô nhiễm
Phán quyết sơ thẩm vụ buộc tội lừa đảo chiếm đoạt tài sản,Tòa sơ thẩm tuyên án trong vụ lừa đảo chiếm đoạt tài sản lớn
Khởi tố điều tra hành vi gian lận thi cử tại địa phương B,Phát hiện gian lận thi cử: cơ quan chức năng vào cuộc
Bắt giữ hàng loạt đối tượng trong vụ cá độ thể thao quốc tế,"Phá ổ cá độ thể thao quốc tế, thu giữ tài liệu chứng cứ"
Vụ án xâm hại trẻ em: lời khai tại toà gây chú ý,"Tòa xét xử vụ xâm hại trẻ em, lời khai nạn nhân được ghi nhận"
Trốn thuế: công ty B bị truy thu và phạt vì kê khai sai,"Cơ quan thuế xử lý vi phạm kê khai, truy thu thuế của công ty B"
Vận chuyển hàng cấm: khởi tố tài xế và chủ hàng,"Bắt giữ xe vận chuyển hàng cấm, khởi tố hình sự chủ hàng"
Văn bản pháp luật mới: hướng dẫn xử lý vi phạm đất đai,Bộ ban hành hướng dẫn mới về xử lý tranh chấp đất đai
